UTTERANCE,LABEL
yo I got the speedboat sailboat sea mountain cave,0
got it,1
all right i dont know if you know its called but it looks like a ball have rice on it and it looks like they have chopsticks coming out and then i have the letter c and then i have a bridge and then i have a pipe,1
I got it,0
all right ive got the guy like ice skating looking like first and then the upside down small splits guy and then the weird thing with a parallelogram on the left and then the big triangle body guy,1
got it,1
I got b and then the thing with the coconuts in the corners then the weird sailboat and the pine tree,0
got it,1
I got the fat road runner looking down fat road runner looking left turkey looking down and rubber ducky,0
got it,1
I have Abraham Lincoln I got a hammer I got indian I got avalanche,0
done,1
we got some weird monk I got some weird monk dude I got front flip dude I got no legs holding a triangle dude and then that last guy,1
it looks like hes on a slip and slide hold on,0
got it,1
all right um vase pine tree bee boat,0
got it,1
I have a rooster I have this dragon Ill repeat that rooster dragon duck with two feet loch ness monster,0
got it,1
I got the weird flying bird with the triangle wings the upside down flamingo road runner turkey,1
got it you know what we should do we should answer or we should remember each others questions and then answer for us got it good got it good,0
alright I have a speed boat I have a big shape kind of like home plate a little bit a palm tree scissors,0
got it,1
I had ten minutes remember that for me ten minutes,0
not remembering yours um upside down swan raven um flying bird with the head in the bottom right and then flying bird with the head in the top right,1
do you mean bottom left,0
Im counting the triangle as its head,1
maybe youre thinking thats the tail,0
Im thinkin the left wing I dont know well just go with it sure,1
yeah oh well hold on,1
yo so I got this avalanche alright and then I got a birthday cake and then I got a triangle diamond next to each other because theyre in love and then I got a house with a chimney,0
all I got was a house with a chinmey go ahead repeat that please,1
ten percent remember that for me I got an avalanche I got cake I got triangle diamond together because they love each other then I got a house with a chimney,0
got it,1
got it,0
bunny fox giraffe crab,1
got it,0
right this first one its a lady holding a handkerchief sideways sector search remember that for me grant and then the second one is that very large picture with the square in the bottom right then the third one is the lady straight up holding a handkerchief the triangles on the left side and then the person bending over tipping his hat,1
all right i gotcha,0
Ive got the crow the weird like pelican slash flamingo thing its got the wing on the left side its more like vertical up and down and then the upside down duck and then the last one is the other pelican thing but its more like horizontal,1
got it,1
you can press done now,1
I got this seal the boat the shark with a square head then the hammer,0
first two again,0
seal then boat,1
twenty four hundred feet grant remember that for me alright giraffe turtle uh loch ness monster tornado slash stingray,0
done,1
alright Ive got the flying bird that we had a mishap with and then the pelican and then the turkey and then the roadrunner,0
got it,1
spaceship flying to the right dog with his nose facing left ram flying up spaceship,0
Ive got chemo sabi um indian guy and the arrowss and then the sideways sailboat that weird in the sideways sailboat with just two triangle sails,0
got it,1
all right i got loch ness monster i got seal i got flamingo i got pelican,1
got it,0
I got um awkward triangle body dude its like really big triangle body and then some weird like monk dude or something and then Slip n Slide guy and then guy running up the wall,0
got it,1
I got the,0
alrighty,1
Ive got the like little hoofprint thingy the spool the hammer abe lincoln,0
say them again sorry,1
now its ok Ill excuse you this time Ive got the hoofprint then the spool then the hammer then the Lincoln,0
good thing I asked I have them in the wrong order,0
yo I got the bunny and I got this loch ness monster and I also have this camel and then I have the spaceship and were all going to fly to the moon,0
got it,1
Ive got the rooster the pelican the big turkey the weird loch ness,1
rubber duck I got rubber ducky uh roadrunner pelican x,0
got it,1
alright I got a guy kicking a football I got upside down dude jumping JT Hitler is what we like to call him alright his arms are straight out upside down lady in a dress and then guy doing a front flip,0
gotcha,1
um doggy lookin left with the triangle ear um weird extremely boxy sort of looking dog thing then the fox then the rat,0
got it,1
uh rubber ducky turkey wrote the first rubber ducky looking up then the turkey then the rubber ducky upside down looking left than that or a small turkey looking left is last,1
so I got this turkey flying up I got this raptor fat raptor you need to lose some weight a little fat and then I got this really lean muscular raptor upside down and then I got this weird looking,1
I have the guy that looks like hes in the olympic diving and hes about to dive and then I have to slip and slide dude going upward then I had the upside down uh dude holding a triangle and then I have the guy running to the right,1
got it,0
houseboat mountain eiffel tower sailboat,0
damn it Grant,0
got it,0
two sailboat triangle nachos attacking a sombrero and then a lobster crab or whatever,0
all I heard was a sombrero and a lobster crab,0
first two first ones the sailboat second ones the triangle,0
alright,0
got it,1
hold on,0
alright I have the bridge I have the cave I have the cave sideways I have the apple,0
you said cave sideways second you said cave then cave sideways,0
um ive got the weird dog with no head its like a square tail and then the rabbit and then the squirrel and then the weird like ram ,0
got the flying bird Ive got this skinny crow looking up and then I got skinny crow upside down looking left and then Ive got the turkey looking up,0
I have the house then I have the triangle and diamond and then I have a sailboat and then I have a flying up spaceship,0
got it,1
lying rabbit sitting rabbit weird monster and then weird dog on its hind legs with like a weird square snout,0
I had a query repeat them,1
alright I have a sailboat I have the pipe letter c uh and triangle,1
big turkey Loch Ness monster seal x,0
uh ax ram bunny squirrel,1
all right i got it,0
yeah let two overlapping triangles going down i got a rocket going to the right ive got the dog looking left with a snare uh snare uh the square snout and then the um fox,0
I smear you,0
Ive got waiter dude holding the triangle upside down person praying or whatever reading a book um splits guy big triangle dude guy,0
I have a house boat I have the half christmas tree have the speed boat I have a palm tree,1
got it,0
pipe comb mountain cave and then the spike,0
got it,1
tornado ram fish monster,1
flying bird seal crane rooster,0
uh Loch Ness monster Loch Ness monster sideways then tornado then kangaroo,0
the first one the flat sides on the bottom the second one the flat sides on the left,0
got it,1
Ive got arrow to the right seal sailboat avalanche,0
so I got the Loch Ness monster flamingo flying bird swan,1
I got square snout dog looking left sitting on its back legs kinda Ive got one with like the cat in the tree sorta looking thing and then I got square snout dog with four legs looking right and then I got a square snout dog with its front feet up in the air yep,0
oh I dont think I got this but well try,1
I have no idea what youre trying to describe but whatever uh Loch Ness monster tornado bunny fish,0
sorry I was getting a query can you repeat those,0
uh Loch Ness monster tornado bunny fish,0
I got it I think you said fish,1
yeah the last ones a fish,1
alright um ive got the bird looking to the right with a big triangle back ive got the flying bird ive got the upside down rubber duck and then ive got the pelican flamingo thing,0
sorry can you repeat that i had a query,0
um the bird looking right with a big triangle back the flying bird the rubber duck and then the pelican,1
one more time I another query,0
sorry you cut out the last second can you repeat the last four,1
yo i got this diamond then i got this upside down sailboat and i got this house boat and i got this spike,0
yo ram pot cave homeplate,1
got it,0
got the big turkey got the big turkey looking up the crow the little turkey upside down looking right and then the last ones another turkey looking down,1
